label,x,y,z
6 78,299316.8886704709,6696063.70587845,70.25608
6 79,299316.84358853416,6696064.638749267,70.206085
6 80,299316.7985065974,6696065.571620084,70.26296
6 81,299316.7534246606,6696066.504490902,70.58055
6 82,299316.70834272384,6696067.437361719,70.68442
6 83,299316.6632607871,6696068.370232536,70.50838
6 84,299316.6181788503,6696069.303103354,70.605804
6 85,299316.5730969135,6696070.235974171,70.72308
6 86,299316.52801497676,6696071.168844989,70.71284
6 87,299316.48293303995,6696072.101715806,70.66611
6 88,299316.4378511032,6696073.034586623,70.83651
6 89,299316.39276916644,6696073.967457442,70.83651
6 90,299316.34768722963,6696074.900328259,71.03989
6 91,299316.3026052929,6696075.833199076,71.36488
6 92,299316.25752335606,6696076.766069894,71.598885
6 93,299316.2124414193,6696077.698940711,71.796814
6 94,299316.16735948256,6696078.6318115285,72.12151
6 95,299316.12227754574,6696079.564682346,72.311554
6 96,299316.077195609,6696080.497553163,72.56094
