label,x,y,z
2 19,299150.6858864885,6696209.922552607,70.07971
2 20,299151.7043265923,6696209.530268437,70.063194
2 21,299152.7227666961,6696209.137984267,70.053604
2 22,299153.7412067999,6696208.745700098,69.98441
2 23,299154.7596469037,6696208.353415927,70.02016
2 24,299155.7780870075,6696207.961131757,69.96077
2 25,299156.7965271113,6696207.568847587,69.97417
2 26,299157.8149672151,6696207.176563418,69.95392
2 27,299158.8334073189,6696206.784279248,69.89438
2 28,299159.8518474227,6696206.391995078,69.88018
2 29,299160.8702875265,6696205.999710908,69.787
2 30,299161.8887276303,6696205.607426738,69.788635
2 31,299162.90716773417,6696205.215142569,69.84866
2 32,299163.92560783797,6696204.822858398,69.808464
2 33,299164.94404794177,6696204.430574228,69.80392
2 34,299165.96248804557,6696204.038290058,69.843124
2 35,299166.98092814937,6696203.6460058885,69.7966
2 36,299167.99936825316,6696203.253721719,69.834755
2 37,299169.01780835696,6696202.861437549,69.7889
2 38,299170.03624846076,6696202.469153379,69.83663
2 39,299171.05468856456,6696202.076869209,69.88626
2 40,299172.07312866836,6696201.684585039,69.8553
2 41,299173.09156877216,6696201.292300869,69.8802
2 42,299174.11000887596,6696200.900016699,69.79646
2 43,299175.1284489798,6696200.507732529,69.82207
2 44,299176.1468890836,6696200.115448359,69.85181
2 45,299177.1653291874,6696199.72316419,69.78777
2 46,299178.1837692912,6696199.33088002,69.823685
2 47,299179.202209395,6696198.93859585,69.76145
2 48,299180.2206494988,6696198.54631168,69.77452
2 49,299181.2390896026,6696198.1540275095,69.80693
2 50,299182.2575297064,6696197.76174334,69.72888
2 51,299183.2759698102,6696197.36945917,69.7392
2 52,299184.294409914,6696196.977175,69.62985
2 53,299185.3128500178,6696196.58489083,69.62898
2 54,299186.3312901216,6696196.192606661,69.61065
2 55,299187.34973022545,6696195.800322491,69.46826
2 56,299188.36817032925,6696195.408038321,69.476234
2 57,299189.38661043305,6696195.015754151,69.5069
2 58,299190.40505053685,6696194.62346998,69.43635
2 59,299191.42349064065,6696194.231185811,69.49397
2 60,299192.44193074445,6696193.838901641,69.4319
2 61,299193.46037084825,6696193.446617471,69.40833
2 62,299194.47881095205,6696193.054333301,69.415146
2 63,299195.49725105584,6696192.6620491315,69.359726
2 64,299196.51569115964,6696192.269764962,69.368126
2 65,299197.53413126344,6696191.877480792,69.32296
2 66,299198.55257136724,6696191.485196621,69.29198
2 67,299199.5710114711,6696191.092912451,69.27392
2 68,299200.5894515749,6696190.700628282,69.213135
2 69,299201.6078916787,6696190.308344112,69.208786
2 70,299202.6263317825,6696189.916059942,69.16837
2 71,299203.6447718863,6696189.523775772,69.184204
2 72,299204.6632119901,6696189.131491602,69.23216
2 73,299205.6816520939,6696188.739207433,69.183304
2 74,299206.7000921977,6696188.346923263,69.23154
2 75,299207.7185323015,6696187.954639092,69.206566
2 76,299208.7369724053,6696187.562354922,69.25885
2 77,299209.7554125091,6696187.1700707525,69.30598
2 78,299210.7738526129,6696186.777786583,69.23508
2 79,299211.79229271674,6696186.385502413,69.26703
2 80,299212.81073282054,6696185.993218243,69.21286
2 81,299213.82917292434,6696185.600934073,69.23169
2 82,299214.84761302813,6696185.208649904,69.26605
2 83,299215.86605313193,6696184.816365734,69.189285
2 84,299216.88449323573,6696184.424081563,69.20964
2 85,299217.90293333953,6696184.031797393,69.2334
2 86,299218.9213734433,6696183.639513223,69.17091
2 87,299219.9398135471,6696183.247229054,69.190926
2 88,299220.9582536509,6696182.854944884,69.14769
2 89,299221.9766937547,6696182.462660714,69.124695
2 90,299222.9951338585,6696182.070376544,69.12095
2 91,299224.0135739624,6696181.6780923745,69.0935
2 92,299225.0320140662,6696181.285808204,69.09412
2 93,299226.05045417,6696180.893524034,69.075615
2 94,299227.0688942738,6696180.501239864,69.07893
2 95,299228.0873343776,6696180.108955694,69.08914
2 96,299229.1057744814,6696179.716671525,69.07442
