label,x,y,z,buried
3 33,612945.5198648649,6651168.542972974,137.99374,0
3 34,612947.6852162163,6651164.046243244,138.38777,0
3 35,612949.8505675676,6651159.549513513,138.77798,0
3 36,612952.0159189189,6651155.0527837835,139.28934,0
3 37,612954.1812702703,6651150.556054054,139.68513,0
3 38,612956.3466216216,6651146.059324324,140.19307,0
3 39,612958.511972973,6651141.562594594,140.58368,0
3 40,612960.6773243244,6651137.065864865,141.02687,0
3 41,612962.8426756756,6651132.569135135,141.46083,0
3 42,612965.008027027,6651128.072405405,141.84723,0
3 43,612967.1733783784,6651123.575675676,142.42255,0
3 44,612969.3387297298,6651119.078945946,142.7589,0
3 45,612971.5040810811,6651114.582216216,142.9441,0
3 46,612973.6694324324,6651110.085486487,142.72646,0
3 47,612975.8347837838,6651105.588756757,142.97629,0
3 48,612978.0001351351,6651101.092027027,143.20259,0
3 49,612980.1654864865,6651096.595297297,143.56343,0
3 50,612982.3308378379,6651092.098567568,144.35106,0
3 51,612984.4961891893,6651087.601837838,144.69695,0
3 52,612986.6615405405,6651083.105108108,145.22086,0
3 53,612988.8268918919,6651078.608378379,145.774,0
3 54,612990.9922432433,6651074.111648649,146.17288,0
3 55,612993.1575945946,6651069.614918919,146.73112,0
3 56,612995.322945946,6651065.11818919,146.88176,0
3 57,612997.4882972973,6651060.62145946,146.76958,0
3 58,612999.6536486486,6651056.12472973,146.82954,0
3 59,613001.819,6651051.6280000005,147.08041,0
3 60,613003.9843513514,6651047.13127027,147.13829,0
3 61,613006.1497027028,6651042.63454054,147.45375,0
3 62,613008.315054054,6651038.1378108105,147.83015,0
3 63,613010.4804054054,6651033.641081081,148.09557,0
3 64,613012.6457567568,6651029.144351351,148.1195,0
3 65,613014.8111081081,6651024.647621621,148.13885,0
3 66,613016.9764594595,6651020.150891892,148.13037,0
3 67,613019.1418108108,6651015.654162162,148.16284,0
3 68,613021.3071621621,6651011.157432432,148.22136,0
3 69,613023.4725135135,6651006.660702703,148.23819,0
3 70,613025.6378648649,6651002.163972973,148.21085,0
3 71,613027.8032162163,6650997.667243243,148.20024,0
3 72,613029.9685675676,6650993.1705135135,148.07538,0
3 73,613032.1339189189,6650988.673783784,147.98401,0
3 74,613034.2992702703,6650984.177054054,147.91228,0
3 75,613036.4646216216,6650979.680324324,147.8784,0
3 76,613038.629972973,6650975.183594595,148.12068,0
3 77,613040.7953243244,6650970.686864865,148.08057,0
3 78,613042.9606756757,6650966.190135135,148.035,0
3 79,613045.126027027,6650961.693405406,147.97122,0
3 80,613047.2913783784,6650957.196675676,147.87666,0
3 81,613049.4567297298,6650952.699945946,148.00188,0
3 82,613051.6220810812,6650948.2032162165,148.07887,0
3 83,613053.7874324324,6650943.706486487,148.33475,0
3 84,613055.9527837838,6650939.209756756,148.48462,0
3 85,613058.1181351352,6650934.7130270265,148.53966,0
3 86,613060.2834864865,6650930.216297297,148.65048,0
3 87,613062.4488378379,6650925.719567567,148.8328,0
3 88,613064.6141891893,6650921.222837837,148.89955,0
3 89,613066.7795405405,6650916.726108108,149.06471,0
3 90,613068.9448918919,6650912.229378378,149.21864,0
3 91,613071.1102432433,6650907.732648648,149.34602,0
3 92,613073.2755945947,6650903.235918919,149.51024,0
3 93,613075.440945946,6650898.739189189,149.84286,0
3 94,613077.6062972973,6650894.242459459,149.84438,0
3 95,613079.7716486487,6650889.7457297295,149.74509,0
3 96,613081.937,6650885.249,149.52733,0
4 1,613062.5,6651222.5,131.4339,0
4 2,613063.4063157894,6651222.075789474,131.5526,0
4 3,613064.312631579,6651221.651578947,131.54169,0
4 4,613065.2189473684,6651221.227368421,131.5732,0
4 5,613066.1252631579,6651220.803157895,131.68263,0
4 6,613067.0315789473,6651220.378947369,131.70795,0
4 7,613067.9378947369,6651219.954736842,131.77234,0
4 8,613068.8442105263,6651219.530526316,131.76094,0
4 9,613069.7505263158,6651219.10631579,131.83466,0
4 10,613070.6568421052,6651218.682105263,131.89368,0
4 11,613071.5631578948,6651218.257894737,131.93591,0
4 12,613072.4694736842,6651217.833684211,131.91931,0
4 13,613073.3757894736,6651217.409473685,131.95128,0
4 14,613074.2821052632,6651216.985263158,131.99965,0
4 15,613075.1884210526,6651216.561052632,132.07217,0
4 16,613076.0947368421,6651216.136842106,132.04224,0
4 17,613077.0010526315,6651215.712631579,132.09747,0
4 18,613077.9073684211,6651215.2884210525,132.16554,0
4 19,613078.8136842105,6651214.864210526,132.26189,0
4 20,613079.72,6651214.44,132.33008,0
4 21,613080.6263157894,6651214.015789473,132.26369,0
4 22,613081.532631579,6651213.591578947,132.32132,0
4 23,613082.4389473684,6651213.167368421,132.32132,0
4 24,613083.3452631579,6651212.743157894,132.38623,0
4 25,613084.2515789474,6651212.318947368,132.36507,0
4 26,613085.1578947369,6651211.894736842,132.44302,0
4 27,613086.0642105263,6651211.470526316,132.41013,0
4 28,613086.9705263157,6651211.046315789,132.49257,0
4 29,613087.8768421053,6651210.622105263,132.49358,0
4 30,613088.7831578947,6651210.197894737,132.59789,0
4 31,613089.6894736842,6651209.77368421,132.57437,0
4 32,613090.5957894736,6651209.349473684,132.67392,0
4 33,613091.5021052632,6651208.925263158,132.66841,0
4 34,613092.4084210526,6651208.501052632,132.7595,0
4 35,613093.3147368421,6651208.076842105,132.73483,0
4 36,613094.2210526316,6651207.652631579,132.85318,0
4 37,613095.1273684211,6651207.228421053,132.84106,0
4 38,613096.0336842105,6651206.804210526,132.90887,0
4 39,613096.94,6651206.38,132.88512,0
4 40,613097.8463157895,6651205.955789474,132.9423,0
4 41,613098.752631579,6651205.531578948,132.92253,0
4 42,613099.6589473684,6651205.107368421,132.99614,0
4 43,613100.5652631578,6651204.683157895,132.9714,0
4 44,613101.4715789474,6651204.258947369,133.02725,0
4 45,613102.3778947368,6651203.834736842,133.02725,0
4 46,613103.2842105263,6651203.410526316,133.07521,0
4 47,613104.1905263158,6651202.98631579,133.06839,0
4 48,613105.0968421053,6651202.562105264,133.10481,0
4 49,613106.0031578947,6651202.137894737,133.0965,0
4 50,613106.9094736842,6651201.713684211,133.1336,0
4 51,613107.8157894737,6651201.2894736845,133.11903,0
4 52,613108.7221052632,6651200.865263158,133.16449,0
4 53,613109.6284210526,6651200.4410526315,133.17424,0
4 54,613110.5347368421,6651200.016842105,133.2315,0
4 55,613111.4410526316,6651199.592631579,133.23276,0
4 56,613112.347368421,6651199.168421052,133.26894,0
4 57,613113.2536842105,6651198.744210526,133.28171,0
